Country,Timing,,,,,,Property Information,,,,,,,,Description
,Week nr.,Date received,Project name,Recieved by,Seller,Location,Use,"Leasable area, sqm","Base rent incl. index, CCY/sqm","NOI, CCY","WAULT, years","Economic occupancy rate, %","Deal value, MCCY",Yield,Comment 
Sweden,47,2025/11/20,Project Node (2),David Hävermark,Jernhusen Holding 10 AB (via Jernhusen Stockholm 161 AB),Stockholm,Logistics,"11,400",-,-,-,-,-,-,"Freehold last-mile logistics development site of 11,422 sqm land with 14,965 sqm BTA building rights (zoning plan in place). Located in Östberga, Stockholm’s premier logistics cluster near DHL, PostNord, Bring and Årsta Intermodal Terminal. Only 10 min from Stockholm C and 5 min from E4/E20. One of very few remaining freehold plots for modern logistics close to the city."
Sweden,48,2025/11/27,Strängnäs Industrial Land,Antonia Nyman,Not stated,Strängnäs / Södertälje,Industrial,"12,500",680,-,-,60%,-,-,"Freehold industrial/warehouse land with >100,000 sqm lot size and 10–15k sqm buildable/lettable area. Rental income approx. 8.5m SEK, current occupancy 50–70%. Zoning allows residential, industrial, social infrastructure, providing strong development potential."
Sweden,48,2025/11/27,Projekt Link,Antonia Nyman,Niam VII Sweden Industrial AB,Linköping,Industrial,"6,994","2,136","2,150",10,100%,-,-,"Fully let high-spec industrial/lab building leased to Element Materials Technology on a long triple-net lease. 6,994 sqm, NOI 15.0m SEK, WAULT 11 yrs, modernized 2022. Located next to Linköping Airport in a strong engineering cluster."
Denmark,48,2025/11/27,Project Themis,Kristina Alderin,Zetland Capital Partners,Various,Social infrastructure ,"27,458",922,875,3,100%,-,-,"Portfolio of four Danish courthouses fully let to the Danish State (Bygningsstyrelsen) with state-guaranteed income. Total lettable area 26,532 sqm. Stabilised NOI across assets after capex increases significantly (Sønderborg 6.6m, Nykøbing 6.9–7.9m, Hjørring 4.5m, Næstved 12.3m). All assets undergoing or planned refurbishments with negotiated lease extensions to 10–20 years."
Denmark,48,2025/11/27,Project Falcon (2),Kristina Alderin,Falck A/S,Various,Social infrastructure ,"673,392",75,73,-,100%,645,7.6%,"Sale-and-leaseback portfolio of ~120 critical infrastructure stations (fire, ambulance, emergency response, health services). Total net rent approx. 50m DKK, estimated acquisition price 645m DKK, net yield 7.5–8%. Long 10+ year leases expected, triple-net structure, fully occupied nationwide strategic response-time locations."
Sweden,48,2025/11/27,Projekt Pearl (2),Josefin Bergholtz,Fastpartner AB ,Various,Residential ,"9,689","2,677","2,167",-,95%,-,-,"Newly built 200-unit residential portfolio (completed 2020–2021) located in central Märsta next to Märsta Centrum and commuter rail. Total area 9,689 sqm, 2026 rent value 25.9m SEK, forecast NOI 21.0m SEK (2,167 kr/m²). Modern spec with high-quality interiors; one building certified Miljöbyggnad Silver. Portfolio sold via share deal (Fastpartner Märsta Holding I AB)."
Sweden,49,2025/12/01,Fagersta Residential Portfolio,Josefin Bergholtz,Not stated,Various,Residential,"9,041",-,-,-,-,-,-,"Residential portfolio of 119 apartments across five buildings built in 1972, totaling 9,041 sqm lettable area. Located in a quiet, nature-oriented area surrounded by forests and close to lakes. Transaction to be executed as a share deal, with indicative bids due 21 January 2025."
Sweden,50,2025/12/10,Projekt Lagerbladet,Josefin Bergholtz,-,Norrtälje,Residential,"1,800",-,-,-,-,-,-,"High-quality residential development consisting of 20 semidetached single-storey homes (parhus), each 90 sqm, 4 rooms, energy class B and premium specifications. Norm rent ~2,500 SEK/sqm (~18,826 SEK/month per unit). Indicative forward value ~4.9m SEK per unit (≈98m SEK total)."
Sweden,50,2025/12/10,Projekt Fjordudden,Carl Rosén,-,Not stated,Residential ,"14,437",-,-,-,-,-,-,"Large-scale residential development opportunity on Orust, within walking distance to the sea and with exclusive boat berths tied to the property. The land can support minimum 100 units (villas, townhouses, semidetached houses, and smaller multi-family blocks)."
Sweden,50,2025/12/10,Sågklingan ,Filip Gustavsson,K-Fastigheter,Västerås,Residential,"7,413",-,-,-,-,-,-,"Newly built residential project in Mälarporten with 119 units, BOA 7,413 sqm, and 92 parking spaces. Modern, energy-efficient design in a major redevelopment area close to transit and services."
Sweden,50,2025/12/10,Vapenrocken,Filip Gustavsson,K-Fastigheter,Västerås,Residential,"10,309",-,-,-,-,-,-,"Residential new-build scheme in Viksäng consisting of 168 units, BOA 10,309 sqm, and 108 parking spaces. Phased completion 2025–2027. High specification with green energy profile. "
Sweden,50,2025/12/10,K-Fastigheter Portfolio,Filip Gustavsson,K-Fastigheter,Various,Residential,"48,597","2,521","2,678",-,-,-,-,"Platform acquisition covering 816 residential units in Vallentuna region. Total BOA 48,597 sqm, LOA 1,938 sqm, 461 parking spaces, and a 2026 NOI of SEK 130.15m. Mix of completed and forward-funded assets with strong rental demand and modern energy standards."
Denmark,50,2025/12/10,Project Hot,Anthony Romano,-,Hvidovre,Industrial,"4,292",850,759,5,100%,55,5.9%,"Fully leased logistics/warehouse property on an 11,358 m² freehold plot. Rent 3.61m DKK, NOI 3.26m DKK. Lease begins 1 Jan 2026 with 5-year mutual non-termination. Modernised asset with LED lighting, office upgrades, and documented handover standards."
Denmark,50,2025/12/11,Project Mabel,Anthony Romano,Industriens Pension,Various,Residential ,"38,667",-,-,-,-,-,-,"Large-scale residential development area in Egedal with ~36,000 m² buildable rights plus 2,200 m² commercial hub and 594 m² senior living. Zoning in place, infrastructure partly completed, and excellent regional connectivity (5 min to Egedal station, 30 min to Copenhagen)."
Finland,50,2025/12/11,Project Liusketie,Mathias Vuorelma,Redivivus Oy,Oulu,Industrial,"4,159",99,-,9,100%,-,-,"New heavy industrial hall leased entirely to Nordic Tank Oy under a capital lease, indexed to CPI with minimum +2% annual increases. Tenant may purchase the asset during the first 3 years at 5.7–5.9 M€. Free height >10 m, steel structure relocated from Pyhäjoki nuclear site."
Sweden,51,2025/12/17,Karlavagnen 4,Filip Gustavsson,-,Stockholm,Mixed-use,"1,210",-,-,-,-,-,-,"Centrally located mixed-use property in Vasastaden, comprising 6 residential apartments, 3 office units, and 2 restaurant units. Total lettable area 1,210 sqm (51% residential). Built 1882, freehold ownership. One apartment and two office units leased without security of tenure, enabling conversion to residential, optimisation of offices, and potential attic development. Transaction intended as a share deal. "
Sweden,51,2025/12/17,Portfölj Holmen,Josefin Bergholtz,-,Various,Residential,"8,334","1,404",-,-,-,-,-,"Residential portfolio of 9 centrally located properties in Katrineholm comprising 122 apartments and 11 ancillary units. Total lettable area 8,334 sqm, of which 94% is residential. Estimated rental value ~11.7m SEK (2026). All assets located within 2 km of Katrineholm Central Station. Transaction structured as a share deal."
Sweden,51,2025/12/17,Project Väsjö Port,Carl Rosén,JM,Sollentuna,Residential,"9,352","2,800",-,-,-,-,-,"Forward-funded residential development in Sollentuna developed by JM, comprising 165 apartments with an average unit size of 57 sqm. Total lettable area 9,352 sqm, estimated rental value ~29m SEK (2027). Construction started Q2 2025, completion expected Q1/Q2 2027. Target Nordic Swan certification and EPC B. Includes 93 parking spaces in mobility house."
Sweden,51,2025/12/17,Barkarby & Spånga,Josefin Bergholtz,-,Various,Residential,"32,536","3,635","3,208",-,-,-,-,"Combined residential portfolio comprising 689 apartments across three new-build assets: Barkarby (409 units, 18,347 sqm NLA, completed 2025) and two Spånga assets (280 units, 14,189 sqm NLA, completion 2027). Total NOI 2026 ~SEK 104.4m, 100% EU Taxonomy aligned, freehold tenure, strong public transport access and modern residential standards. "
Denmark,51,2025/12/17,HOF Development Portfolio,Anthony Romano,-,Various,Industrial,-,-,-,-,-,-,-,"Off-market portfolio of five light-industrial assets proposed to be sold together in one transaction. Assets located in Greater Copenhagen (Hvidovre, Hedehusene) and Southern Jutland (Vamdrup). "
Denmark,51,2025/12/17,Project Green Park,Anthony Romano,-,Ballerup,Residential,"11,059",-,-,-,-,-,-,"Newly constructed residential property in Ballerup, Greater Copenhagen, comprising 153 apartments across 11 buildings with total GLA 11,059 sqm and 134 parking spaces (69 underground). Construction completed early November 2025 with all units let at completion. High ESG standard (A2020 EPC), strong residential demand, approx. 18 km from central Copenhagen."
Norway,2,2026/01/06,Project TetraLog,David Hävermark,Urban Partners,Various,Logistics,"97,745","1,050",-,7,100%,-,-,"Portfolio of four newly built logistics assets (completion 2022–2025) located in Vestby and Moss, approx. 30–40 minutes from Oslo.  Strong ESG profile (EPC A–B, BREEAM-NOR Very Good). Rent reversion potential of 15–20%, mainly in Vestby."
Sweden,2,2026/01/06,Länna Industrial Property,David Hävermark,,Stockholm,Industrial,800,-,"1,225",-,100%,-,-,"Fully let industrial/warehouse and office property in Länna Industrial Area, offered via share deal. Modern technical standard including floor heating, air-to-water heat pump, and recently approved OVK. "
Denmark,2,2026/01/08,Project Vicinity,Anthony Romano,DSV,Hvidovre,Industrial,"19,324",-,-,-,-,-,-,"Prime last-mile/logistics property in Avedøre Holme offered with full vacant possession, enabling refurbishment and/or redevelopment. IM indicates potential to utilise ~15,000 sqm additional building rights (buyer to assess)."
Denmark,2,2026/01/08,Project Green Park (2),Anthony Romano,Brinova Holding 1.1 AB,Ballerup,Residential,"11,059","1,923","1,724",-,100%,-,-,Newly built residential scheme with 153 units across 11 buildings plus 139 parking spaces (incl. 68 underground) in landscaped “park-like” surroundings. EPC A2020; sale structured as a share deal.
-,52,-,,-,-,-,-,-,-,-,-,-,-,-,-
-,52,-,,-,-,-,-,-,-,-,-,-,-,-,-
-,52,-,,-,-,-,-,-,-,-,-,-,-,-,-
-,52,-,,-,-,-,-,-,-,-,-,-,-,-,-
-,52,-,,-,-,-,-,-,-,-,-,-,-,-,-
-,52,-,,-,-,-,-,-,-,-,-,-,-,-,-
-,52,-,,-,-,-,-,-,-,-,-,-,-,-,-
